,Country 1,Country 2,Domain,Suffix
0,New Zealand,Bulgaria,rarbg,to
1,New Zealand,India,rarbg,to
2,New Zealand,Netherlands,rarbg,to
3,New Zealand,Hungary,shaparak,ir
