,Country 1,Country 2,Domain,Suffix
0,South Africa,China,address,com
1,South Africa,China,whitepages,com
2,South Africa,India,address,com
3,South Africa,India,whitepages,com
4,South Africa,Malaysia,address,com
5,South Africa,Malaysia,whitepages,com
6,South Africa,Viet Nam,address,com
7,South Africa,Viet Nam,whitepages,com
