,URL,URL Country
0,torrentfunk.com,BS
1,Torrents.eu,
2,Torrentroom.com,BS
3,Pastebin.com,PA
4,Xmarks.com,
5,DailyMotion.com,fr
6,thepiratebay.org/thepiratebay.se,CA
7,Vimeo.com,
8,kickasstorrents.com,
9,ThePirateBay,
10,kat.ph,
11,torlock.com,BS
12,DailyMotion,
13,Torrents.net,
14,ThePirateBay.org/ThePirateBay.se,CA
15,Isohunt.com,
16,Extratorrent.com,CA
17,fenopy.eu,
18,Kickasstorrents.com,
19,torrentz.eu,
