,URL
0,airkoryo.com.kp
1,cooks.org.kp
2,friend.com.kp
3,gnu.rep.kp
4,kass.org.kp
5,kcna.kp
6,kiyctc.com.kp
7,knic.com.kp.
8,koredufund.org.kp
9,korelcfund.org.kp
10,korfilm.com.kp
11,ma.gov.kp
12,masikryong.com.kp
13,naenara.com.kp
14,nta.gov.kp
15,portal.net.kp
16,rcc.net.kp
17,rep.kp
18,rodong.rep.kp
19,ryongnamsan.edu.kp
20,sdprk.org.kp
21,silibank.net.kp
22,star-co.net.kp
23,star-di.net.kp
24,star.co.kp
25,star.edu.kp
26,star.net.kp
27,vok.rep.kp
