,Country 1,Country 2,Domain,Suffix
0,Malaysia,China,address,com
1,Malaysia,China,whitepages,com
2,Malaysia,India,address,com
3,Malaysia,India,whitepages,com
4,Malaysia,Viet Nam,address,com
5,Malaysia,Viet Nam,whitepages,com
6,Malaysia,South Africa,address,com
7,Malaysia,South Africa,whitepages,com
