,Country 1,Country 2,Domain,Suffix
0,India,China,address,com
1,India,China,whitepages,com
2,India,Malaysia,address,com
3,India,Malaysia,whitepages,com
4,India,Viet Nam,address,com
5,India,Viet Nam,whitepages,com
6,India,South Africa,address,com
7,India,South Africa,whitepages,com
8,India,Bulgaria,rarbg,to
9,India,Netherlands,rarbg,to
10,India,New Zealand,rarbg,to
11,India,Russian Federation,wordpress,com
12,India,Turkey,wordpress,com
