,0,1,2
0,https://www.bakersfield.com,New York,Y
1,https://www.bakersfield.com,Toronto,Y
2,https://www.bakersfield.com,Tampa,Y
3,https://www.bakersfield.com,Seattle,Y
4,https://www.bakersfield.com,Vancouver,Y
5,https://www.bakersfield.com,Los Angeles,Y
6,https://www.bakersfield.com,Guadalajara,Y
7,https://www.bakersfield.com,Honolulu,Y
8,https://www.bakersfield.com,Tel Aviv,Y
9,https://www.bakersfield.com,São Paulo,Y
10,https://www.bakersfield.com,Tokyo,Y
11,https://www.bakersfield.com,Buenos Aires,Y
12,https://www.bakersfield.com,Hong Kong,Y
13,https://www.bakersfield.com,New Delhi,Y
14,https://www.bakersfield.com,Jakarta,Y
15,https://www.bakersfield.com,Singapore,Y
16,https://www.bakersfield.com,Sydney,Y
17,https://www.bakersfield.com,Seoul,Y
18,https://www.bakersfield.com,Auckland,Y
19,https://www.bakersfield.com,Beijing,Y
20,https://www.bakersfield.com,London,N
21,https://www.bakersfield.com,Lelystad,N
22,https://www.bakersfield.com,Haarlem,N
23,https://www.bakersfield.com,Frankfurt,N
24,https://www.bakersfield.com,Groningen,N
25,https://www.bakersfield.com,Leipzig,N
26,https://www.bakersfield.com,Hamburg,N
27,https://www.bakersfield.com,Eindhoven,N
28,https://www.bakersfield.com,Brussels,N
29,https://www.bakersfield.com,Göteborg,N
30,https://www.bakersfield.com,Amsterdam,N
31,https://www.bakersfield.com,Dublin,N
32,https://www.bakersfield.com,Berlin,N
33,https://www.bakersfield.com,Lille,N
34,https://www.bakersfield.com,Milan,N
35,https://www.bakersfield.com,Prague,N
36,https://www.bakersfield.com,Rome,N
37,https://www.bakersfield.com,Paris,N
38,https://www.bakersfield.com,Palermo,N
39,https://www.bakersfield.com,Oslo,N
40,https://www.bakersfield.com,Salzburg,N
41,https://www.citypaper.com,Seattle,Y
42,https://www.citypaper.com,Toronto,Y
43,https://www.citypaper.com,Vancouver,Y
44,https://www.citypaper.com,Tampa,Y
45,https://www.citypaper.com,Guadalajara,Y
46,https://www.citypaper.com,Tokyo,Y
47,https://www.citypaper.com,Singapore,Y
48,https://www.citypaper.com,Lelystad,Y
49,https://www.citypaper.com,London,Y
50,https://www.citypaper.com,Frankfurt,Y
51,https://www.citypaper.com,Groningen,Y
52,https://www.citypaper.com,Amsterdam,Y
53,https://www.citypaper.com,Lille,Y
54,https://www.citypaper.com,Brussels,Y
55,https://www.citypaper.com,Milan,Y
56,https://www.citypaper.com,Dublin,Y
57,https://www.citypaper.com,Eindhoven,Y
